FLIGHT LOG
t, z, x, theta, rpm1, rpm2, v_z, v_x, omega, pred_theta, del_rpm
107.000, -2129.140, 0.000, 0.000, 11.499, 11.499, -15.00, 0.00, 0.00, 0.000, 0.000
108.000, -2149.034, 0.000, 0.000, 11.713, 11.713, -15.00, 0.00, 0.00, 0.000, 0.000
109.000, -2168.927, 0.000, 0.000, 11.930, 11.930, -15.00, 0.00, 0.00, 0.000, 0.000
110.000, -2188.820, 0.000, 0.000, 12.149, 12.149, -15.00, 0.00, 0.00, 0.000, 0.000
111.000, -2208.713, 0.000, 0.000, 12.370, 12.370, -15.00, 0.00, 0.00, 0.000, 0.000
112.000, -2228.606, 0.000, 0.000, 12.593, 12.593, -15.00, 0.00, 0.00, 0.000, 0.000
113.000, -2248.498, 0.000, 0.000, 12.818, 12.818, -15.00, 0.00, 0.00, 0.000, 0.000
114.000, -2268.390, 0.000, 0.000, 13.045, 13.045, -15.00, 0.00, 0.00, 0.000, 0.000
115.000, -2288.282, 0.000, 0.000, 13.274, 13.274, -15.00, 0.00, 0.00, 0.000, 0.000
116.000, -2308.174, 0.000, 0.000, 13.504, 13.504, -15.00, 0.00, 0.00, 0.000, 0.000
117.000, -2328.065, 0.000, 0.000, 13.737, 13.737, -15.00, 0.00, 0.00, 0.000, 0.000
118.000, -2347.957, 0.000, 0.000, 13.972, 13.972, -15.00, 0.00, 0.00, 0.000, 0.000
119.000, -2367.848, 0.000, 0.000, 14.209, 14.209, -15.00, 0.00, 0.00, 0.000, 0.000
120.000, -2387.739, 0.000, 0.000, 14.448, 14.448, -15.00, 0.00, 0.00, 0.000, 0.000
121.000, -2407.629, 0.000, 0.000, 14.688, 14.688, -15.00, 0.00, 0.00, 0.000, 0.000
122.000, -2427.520, 0.000, 0.000, 14.931, 14.931, -15.00, 0.00, 0.00, 0.000, 0.000
123.000, -2447.410, 0.000, 0.000, 15.176, 15.176, -15.00, 0.00, 0.00, 0.000, 0.000
124.000, -2467.300, 0.000, 0.000, 15.423, 15.423, -15.00, 0.00, 0.00, 0.000, 0.000
125.000, -2487.189, 0.000, 0.000, 15.671, 15.671, -15.00, 0.00, 0.00, 0.000, 0.000
126.000, -2507.079, 0.000, 0.000, 15.922, 15.922, -15.00, 0.00, 0.00, 0.000, 0.000
127.000, -2526.968, 0.000, 0.000, 16.175, 16.175, -15.00, 0.00, 0.00, 0.000, 0.000
128.000, -2546.857, 0.000, 0.000, 16.429, 16.429, -15.00, 0.00, 0.00, 0.000, 0.000
129.000, -2566.745, 0.000, 0.000, 16.686, 16.686, -15.00, 0.00, 0.00, 0.000, 0.000
130.000, -2586.634, 0.000, 0.000, 16.945, 16.945, -15.00, 0.00, 0.00, 0.000, 0.000
131.000, -2606.522, 0.000, 0.000, 17.205, 17.205, -15.00, 0.00, 0.00, 0.000, 0.000
132.000, -2626.410, 0.000, 0.000, 17.468, 17.468, -15.00, 0.00, 0.00, 0.000, 0.000
133.000, -2646.297, 0.000, 0.000, 17.733, 17.733, -15.00, 0.00, 0.00, 0.000, 0.000
134.000, -2666.184, 0.000, 0.000, 17.999, 17.999, -15.00, 0.00, 0.00, 0.000, 0.000
135.000, -2686.072, 0.000, 0.000, 18.268, 18.268, -15.00, 0.00, 0.00, 0.000, 0.000
136.000, -2705.958, 0.000, 0.000, 18.539, 18.539, -15.00, 0.00, 0.00, 0.000, 0.000
137.000, -2725.845, 0.000, 0.000, 18.811, 18.811, -15.00, 0.00, 0.00, 0.000, 0.000
138.000, -2745.731, 0.000, 0.000, 19.086, 19.086, -15.00, 0.00, 0.00, 0.000, 0.000
139.000, -2765.617, 0.000, 0.000, 19.362, 19.362, -15.00, 0.00, 0.00, 0.000, 0.000
140.000, -2785.503, 0.000, 0.000, 19.641, 19.641, -15.00, 0.00, 0.00, 0.000, 0.000
141.000, -2805.388, 0.000, 0.000, 19.921, 19.921, -15.00, 0.00, 0.00, 0.000, 0.000
142.000, -2825.274, 0.000, 0.000, 20.204, 20.204, -15.00, 0.00, 0.00, 0.000, 0.000
143.000, -2845.158, 0.000, 0.000, 20.489, 20.489, -15.00, 0.00, 0.00, 0.000, 0.000
144.000, -2865.043, 0.000, 0.000, 20.775, 20.775, -15.00, 0.00, 0.00, 0.000, 0.000
145.000, -2884.927, 0.000, 0.000, 21.064, 21.064, -15.00, 0.00, 0.00, 0.000, 0.000
146.000, -2904.811, 0.000, 0.000, 21.354, 21.354, -15.00, 0.00, 0.00, 0.000, 0.000
147.000, -2924.695, 0.000, 0.000, 21.647, 21.647, -15.00, 0.00, 0.00, 0.000, 0.000
148.000, -2944.579, 0.000, 0.000, 21.941, 21.941, -15.00, 0.00, 0.00, 0.000, 0.000
149.000, -2964.462, 0.000, 0.000, 22.237, 22.237, -15.00, 0.00, 0.00, 0.000, 0.000
150.000, -2984.345, 0.000, 0.000, 22.536, 22.536, -15.00, 0.00, 0.00, 0.000, 0.000
151.000, -3004.227, 0.000, 0.000, 22.836, 22.836, -15.00, 0.00, 0.00, 0.000, 0.000
152.000, -3024.110, 0.000, 0.000, 23.139, 23.139, -15.00, 0.00, 0.00, 0.000, 0.000
153.000, -3043.992, 0.000, 0.000, 23.443, 23.443, -15.00, 0.00, 0.00, 0.000, 0.000
154.000, -3063.873, 0.000, 0.000, 23.750, 23.750, -15.00, 0.00, 0.00, 0.000, 0.000
155.000, -3083.755, 0.000, 0.000, 24.058, 24.058, -15.00, 0.00, 0.00, 0.000, 0.000
156.000, -3103.636, 0.000, 0.000, 24.368, 24.368, -15.00, 0.00, 0.00, 0.000, 0.000
157.000, -3123.517, 0.000, 0.000, 24.681, 24.681, -15.00, 0.00, 0.00, 0.000, 0.000
158.000, -3143.397, 0.000, 0.000, 24.995, 24.995, -15.00, 0.00, 0.00, 0.000, 0.000
